iter	Logloss
0	0.6511631378
1	0.6151221206
2	0.5850756171
3	0.569366373
4	0.5469774512
5	0.5293213793
6	0.5152416419
7	0.5034367165
8	0.49459455
9	0.4853428358
10	0.4776801058
11	0.4688179666
12	0.4643542617
13	0.4573382897
14	0.4518859856
15	0.4480194724
16	0.444634648
17	0.4411911786
18	0.437910611
19	0.4358224224
20	0.4322747011
21	0.4300997895
22	0.4272360558
23	0.4255013877
24	0.4233399813
25	0.4218752569
26	0.4191368878
27	0.4171636071
28	0.4142936495
29	0.4125277797
30	0.4105851867
31	0.4092178788
32	0.4069725872
33	0.4059219811
34	0.4044241303
35	0.4029320722
36	0.4020900981
37	0.4014591943
38	0.3999503948
39	0.398339626
40	0.397103339
41	0.396785712
42	0.3958028873
43	0.3947016663
44	0.3934917277
45	0.3923721225
46	0.3918280149
47	0.3912494078
48	0.3905034572
49	0.3896740745
50	0.3884458451
51	0.3874089606
52	0.386895474
53	0.3863847557
54	0.3845575037
55	0.3837459124
56	0.3820058104
57	0.3817646641
58	0.3814536549
59	0.3800704906
60	0.3799173407
61	0.3796674241
62	0.3793787632
63	0.3790107621
64	0.3787891109
65	0.3781495837
66	0.3772848628
67	0.3765565752
68	0.3759445593
69	0.3757338981
70	0.375493798
71	0.3742548972
72	0.3735577891
73	0.3725170022
74	0.3713775623
75	0.3707123149
76	0.3704921756
77	0.3701413936
78	0.3699675183
79	0.3698341811
80	0.3691712413
81	0.3687703308
82	0.3684929578
83	0.3683709266
84	0.3683098918
85	0.3680864154
86	0.3677951782
87	0.3670900571
88	0.366999053
89	0.3669134111
90	0.3664364997
91	0.365118194
92	0.3648456992
93	0.364657483
94	0.3639293501
95	0.3638535953
96	0.3637825736
97	0.363450265
98	0.3631438756
99	0.3630612126
100	0.3629838476
101	0.3628396312
102	0.362002728
103	0.3607463564
104	0.3606464147
105	0.3600904611
106	0.3597953262
107	0.3597282709
108	0.3590282232
109	0.358558406
110	0.3577369794
111	0.3576401137
112	0.356480466
113	0.3554184764
114	0.3548919555
115	0.3546378318
116	0.3545740003
117	0.3544288697
118	0.3540212514
119	0.353538453
120	0.3534555235
121	0.3533686461
122	0.3523466253
123	0.3522226254
124	0.3521485887
125	0.3519781562
126	0.3518570533
127	0.351817908
128	0.3510769673
129	0.3501753349
130	0.3493887851
131	0.3492664924
132	0.3490819271
133	0.3489882811
134	0.3486614154
135	0.3483206489
136	0.3482353323
137	0.3474995556
138	0.3466234991
139	0.3464550958
140	0.3458038695
141	0.3450370999
142	0.3449868086
143	0.3449389145
144	0.3441864409
145	0.3435660552
146	0.3427816313
147	0.3423658251
148	0.3414504574
149	0.3411189615
150	0.34106089
151	0.3409939434
152	0.3405630496
153	0.3404826452
154	0.3399209613
155	0.3395763793
156	0.3393883141
157	0.3387911134
158	0.337828283
159	0.3374929174
160	0.3368430138
161	0.3360193898
162	0.3359198332
163	0.3358907831
164	0.33580696
165	0.3354980207
166	0.3351492265
167	0.3347154757
168	0.3346523803
169	0.3340477893
170	0.3337340863
171	0.3337075398
172	0.333489946
173	0.3319651708
174	0.3319475061
175	0.3315073419
176	0.3302334766
177	0.3301028135
178	0.3298084215
179	0.3291714047
180	0.3289226973
181	0.3283723356
182	0.3283481762
183	0.327885098
184	0.3273370656
185	0.3272464035
186	0.3270479803
187	0.326926981
188	0.3267322754
189	0.3264353216
190	0.3261500719
191	0.3261315932
192	0.3253167723
193	0.3244534723
194	0.3239893175
195	0.3233658571
196	0.3230332488
197	0.3225426255
198	0.3217783408
199	0.3215083087
