iter	Logloss
0	0.6377502347
1	0.599836315
2	0.5658807903
3	0.5410650839
4	0.5175823424
5	0.4978446905
6	0.4828019503
7	0.4707553217
8	0.465169993
9	0.4549956524
10	0.447814046
11	0.4432590332
12	0.4399380501
13	0.4371796379
14	0.4324345883
15	0.4284807512
16	0.4272340016
17	0.4238764052
18	0.4212175772
19	0.4201335371
20	0.4158061137
21	0.4130147665
22	0.409809459
23	0.4072404698
24	0.4058804421
25	0.4050470851
26	0.4036686199
27	0.4024987155
28	0.4008576222
29	0.3999533355
30	0.3986839535
31	0.3976958215
32	0.39686113
33	0.3954257446
34	0.3950805894
35	0.3948681023
36	0.3936467565
37	0.3930951023
38	0.3925572577
39	0.3919273445
40	0.3914893258
41	0.3908337344
42	0.3896828157
43	0.3892664125
44	0.3886605687
45	0.3880415393
46	0.3864889037
47	0.3855506957
48	0.3851653099
49	0.3842752811
50	0.3836748059
51	0.3831810951
52	0.3827235636
53	0.3823119413
54	0.3809278513
55	0.380662558
56	0.3803196723
57	0.3800965345
58	0.3796995416
59	0.3790444169
60	0.3782411914
61	0.377990108
62	0.3773464409
63	0.3770225274
64	0.3768119326
65	0.3761507098
66	0.3756556387
67	0.375255436
68	0.3745449914
69	0.3741514922
70	0.3741061237
71	0.3738827447
72	0.3733901588
73	0.3729013878
74	0.372252336
75	0.3718090313
76	0.3716642756
77	0.3710752934
78	0.3703512686
79	0.3699171604
80	0.3698009296
81	0.3696237867
82	0.3692707833
83	0.3690362965
84	0.3685682996
85	0.3676114142
86	0.3672914319
87	0.3663211085
88	0.3660582466
89	0.3660240544
90	0.3658107746
91	0.3654745408
92	0.3648930185
93	0.3648004777
94	0.3637890093
95	0.3634816766
96	0.3627198397
97	0.3623004016
98	0.3619971906
99	0.3613009102
100	0.3608465724
101	0.3606740544
102	0.36054314
103	0.3600856688
104	0.3592657472
105	0.357760923
106	0.3576308205
107	0.3574437276
108	0.3570776072
109	0.3567587487
110	0.3563784806
111	0.3555256158
112	0.3553054475
113	0.3547566903
114	0.3543413953
115	0.3542647614
116	0.3532587174
117	0.3531780802
118	0.3530521426
119	0.3529347225
120	0.3520808497
121	0.3518833499
122	0.3512029153
123	0.3509674156
124	0.350876042
125	0.349806217
126	0.3492145638
127	0.349087737
128	0.3489677901
129	0.3483831931
130	0.3476504813
131	0.3461728095
132	0.3459189373
133	0.3449971062
134	0.3449551571
135	0.3441698276
136	0.3435537033
137	0.3426962667
138	0.34250472
139	0.342175127
140	0.3407782131
141	0.3405534961
142	0.3404266386
143	0.3402087096
144	0.3398347967
145	0.3397530166
146	0.3390444877
147	0.3378824697
148	0.3372356354
149	0.3367368097
150	0.3360340318
151	0.3358486375
152	0.3351473184
153	0.3351222906
154	0.3350791131
155	0.3338726998
156	0.3335133045
157	0.3328906699
158	0.3322832831
159	0.3321219443
160	0.3315906292
161	0.3312597863
162	0.3305862808
163	0.3296691284
164	0.3296091283
165	0.3288817305
166	0.3288089285
167	0.328546376
168	0.3275478821
169	0.3267940513
170	0.326156733
171	0.3259774898
172	0.3251772877
173	0.3244961648
174	0.3240427682
175	0.3235734742
176	0.3230636353
177	0.3225750147
178	0.322233179
179	0.3217635612
180	0.3214199755
181	0.3208905498
182	0.3205397122
183	0.3195715839
184	0.3193633875
185	0.3185389328
186	0.3183521264
187	0.3175449656
188	0.3172701787
189	0.3168545003
190	0.3164862237
191	0.3163843683
192	0.3158416097
193	0.3153458792
194	0.3148230532
195	0.3145841695
196	0.314441585
197	0.3138160491
198	0.3137604001
199	0.3133189372
